artigoEmPeriodico	 	2026		http://dx.doi.org/10.1016/j.molstruc.2025.145171	Influence of side-chloro substitution on the thermal and photophysical properties of 2,1,3-benzothiadiazole-based liquid crystals	JOURNAL OF MOLECULAR STRUCTURE	DE JESUS, EUNICE CERQUEIRA ; FERREIRA, LARISSA DE SOUZA ; DE CAMPOS, FEIK AMIL ; OLIVEIRA, DIONE DA COSTA ; MANHABOSCO, TAÍSE MATTE ; Cazati, Thiago ; SERRA, LORENZO CONTI ; BECHTOLD, IVAN H. ; VIEIRA, ANDRÉ ALEXANDRE		
artigoEmPeriodico	 	2026		http://dx.doi.org/10.1021/acs.jpcc.5c05571	Spontaneous Folding of Suspended and Supported Graphene, and Other 2D Materials: Morphologies and Induced Pre-Tension	Journal of Physical Chemistry C	DE MORAES, ELIZANE E. ; DE OLIVEIRA, ALAN B. ; Batista, Ronaldo J. C. ; Matos, Matheus J. S. ; PAULA MOREIRA BARBOZA, ANA ; RUEGGER ALMEIDA NEVES, BERNARDO ; Chacham, Helio		
artigoEmPeriodico	 	2026		http://dx.doi.org/10.1007/s40194-026-02429-8	Peak temperature and cooling rate effects on M-A constituent characteristics in the ICCGHAZ of HSLA steels: a review	Welding in the World	DE OLIVEIRA, DAYNARA FAUSTINA MOREIRA ; DE FARIA, GERALDO LÚCIO ; PORCARO, RODRIGO RANGEL		
artigoEmPeriodico	 	2026		http://dx.doi.org/10.51473/rcmos.v1i1.2026.2019	Experimental analysis of superabsorbent polymers for moisture reduction and initial characterization of sinter feed	RCMOS - Revista Científica Multidisciplinar O Saber	FERREIRA, MARIANA BABILONE DE SOUZA ; SANTOS, CLÁUDIO GOUVÊA DOS		
artigoEmPeriodico	 	2026		http://dx.doi.org/10.1016/j.msea.2025.149395	Microstructural and mechanical behavior evolution in copper under ECAP+MDF strain paths	MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING	FLAUSINO, PAULA CIBELY ALVES ; SILVA, NAYARA APARECIDA NERES DA ; REIS, LEONARDO MAYER ; MANHABOSCO, TAISE MATTE ; AGUILAR, MARIA TERESA PAULINO ; CETLIN, PAULO ROBERTO		
artigoEmPeriodico	 	2026		http://dx.doi.org/10.4322/2176-1523.20253330	Continuous heating transformation diagram and austenitic grain refinement in a commercial brazilian boron steel	TECNOLOGIA EM METALURGIA, MATERIAIS E MINERAÇÃO	GONÇALVES, ALICE SILVA ; MOREIRA, PAULO SÉRGIO ; Faria, Geraldo Lúcio de		
artigoEmPeriodico	 	2026		http://dx.doi.org/10.1007/s10989-026-10851-1	Integrated Computational and Experimental Discovery of Antitumoral Peptides Targeting Luminal A and Triple-Negative Breast Cancer	INTERNATIONAL JOURNAL OF PEPTIDE RESEARCH AND THERAPEUTICS	GURGEL, ISABELLA FAGUNDES ; MARCARINI, ANA CAROLINI ALMEIDA ; LACERDA, CARLOS MARCHIORO ; DE SOUZA, ALINE ; DE OLIVEIRA, MARIA ALICE ; FARIA, HUGO OLIVEIRA ; SANSON, ANANDA LIMA ; BARBOZA, ANA PAULA MOREIRA ; BRAGA, SAULO FEHELBERG PINTO ; QUARESMA, AMANDA DE VASCONCELOS ; MOSQUEIRA, VANESSA CARLA FURTADO ; RUBIO, KARINA TACIANA SANTOS		
artigoEmPeriodico	 	2026		http://dx.doi.org/10.1016/j.colsurfa.2026.141478	Synergistic role of cobalt doping and oxygen vacancies in TiO2 catalysts for efficient hydrogen generation from NaBH4 hydrolysis	COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS	LEITE, RAMON RESENDE ; DA SILVA, LEONARDO ARMANDO ; DA SILVA, RAFAEL TOMAZ ; NASCIMENTO, OTACIRO RANGEL ; DE CARVALHO, HUGO BONETTE ; FAJARDO, HUMBERTO VIEIRA ; BERNARDI, MARIA INÊS BASSO		
artigoEmPeriodico	 	2026		http://dx.doi.org/10.1021/acsnanomed.5c00118	Interfacial Charge Transfer in Action: Spectroscopic Observation of Nucleoside-Induced -type Doping on Monolayer MoS for DNA Analysis	ACS Nano Medicine	LIU, XUDONG ; SOUZA, ALAN C. R. ; ZHAO, MINGCHUANG ; WANG, CONG ; HE, HAOQI ; GAO, JIANXIANG ; Matos, Matheus J. S. ; CARVALHO, BRUNO R. ; LEI, YU		
artigoEmPeriodico	 	2026		http://dx.doi.org/10.3390/met16040393	Comment on de Castro et al. Next-Generation Lubricity in Deep Drawing: The Synergistic Benefits of PIL and Talc on Water-Based Lubricants. Metals 2024, 14, 705	Metals	MANHABOSCO, TAÍSE M. ; DE OLIVEIRA, ALAN B. ; BATISTA, RONALDO J. C.		
artigoEmPeriodico	 	2026		http://dx.doi.org/10.36704/pendes.v6i1.10710	Entre emancipação e controle: Harper's Bazzar e Vogue e o jornalismo de moda americano no período entreguerras	Pensamentos em Design	Melano, Isabella ; Silva, Sérgio Antônio ; SANTOS, Heloisa Nazaré dos		
